x y e3 e4 e5 e6 labels
5.113927300000000287e+00 1.256285500000000077e+01 -6.266168699999999370e-02 -2.778117100000000034e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.224211300000000335e+00 1.354856799999999950e+01 -6.265636600000000500e-02 -2.777721000000000010e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.241935500000000303e+00 1.449978499999999926e+01 -6.264395100000000327e-02 -2.776796999999999946e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.209019099999999902e+00 1.556134899999999988e+01 -6.262444400000000133e-02 -2.775345099999999843e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.177419399999999783e+00 1.668029200000000145e+01 -6.259784599999999866e-02 -2.773365699999999837e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.177419399999999783e+00 1.770802899999999980e+01 -6.256416099999999314e-02 -2.770859100000000116e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.177419399999999783e+00 1.879416099999999901e+01 -6.252339299999999656e-02 -2.767825800000000072e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.177419399999999783e+00 1.986861299999999986e+01 -6.247554500000000038e-02 -2.764266400000000082e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.158986200000000188e+00 2.095474499999999907e+01 -6.242062500000000042e-02 -2.760181600000000124e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.122119800000000112e+00 2.206423399999999901e+01 -6.235863700000000148e-02 -2.755572099999999830e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.085253500000000315e+00 2.317372299999999896e+01 -6.228958799999999990e-02 -2.750438800000000114e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.029953899999999756e+00 2.432992700000000141e+01 -6.221348799999999735e-02 -2.744782700000000103e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
4.993087599999999959e+00 2.554452600000000118e+01 -6.213034399999999707e-02 -2.738604799999999964e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
